campaign	pair	order	benchmark	gomaxprocs	go126_ns_op	go127_ns_op
mixed	1	126-127	SVD_128x128	12	31246693	29306284
mixed	2	127-126	SVD_128x128	12	26558190	25460703
mixed	3	126-127	SVD_128x128	12	26862437	25854621
mixed	4	127-126	SVD_128x128	12	26514367	25426744
mixed	5	126-127	SVD_128x128	12	27754278	27634678
mixed	6	127-126	SVD_128x128	12	35097323	33623468
mixed	7	126-127	SVD_128x128	12	30748157	29522870
mixed	8	127-126	SVD_128x128	12	32649906	31470393
mixed	9	126-127	SVD_128x128	12	38287093	31267474
serial	1	126-127	EighVJP_128	1	5117780	4064243
serial	2	127-126	EighVJP_128	1	4129479	4030995
serial	3	126-127	EighVJP_128	1	4114093	4060631
serial	4	127-126	EighVJP_128	1	3942501	3983034
serial	5	126-127	EighVJP_128	1	4046412	4035185
serial	6	127-126	EighVJP_128	1	4023364	3913834
serial	7	126-127	EighVJP_128	1	4131120	4266808
serial	8	127-126	EighVJP_128	1	3973014	4140489
serial	9	126-127	EighVJP_128	1	4097625	4082715
serial	1	126-127	MoECombineBackward	1	25234102	22500824
serial	2	127-126	MoECombineBackward	1	22187214	16191013
serial	3	126-127	MoECombineBackward	1	22876072	17440210
serial	4	127-126	MoECombineBackward	1	19207853	20278465
serial	5	126-127	MoECombineBackward	1	16546694	22506497
serial	6	127-126	MoECombineBackward	1	16491465	15704670
serial	7	126-127	MoECombineBackward	1	17380252	18176724
serial	8	127-126	MoECombineBackward	1	19084493	17774475
serial	9	126-127	MoECombineBackward	1	21758089	20068484
parallel	1	126-127	EighVJP_128	12	1889814	1946898
parallel	2	127-126	EighVJP_128	12	1957743	2254791
parallel	3	126-127	EighVJP_128	12	2341477	3121925
parallel	4	127-126	EighVJP_128	12	2934442	2818951
parallel	5	126-127	EighVJP_128	12	3050883	2390895
parallel	6	127-126	EighVJP_128	12	2333024	2645581
parallel	7	126-127	EighVJP_128	12	4710667	2764249
parallel	8	127-126	EighVJP_128	12	3010013	2999605
parallel	9	126-127	EighVJP_128	12	3125233	2622311
parallel	1	126-127	MoECombineBackward	12	7100270	7603442
parallel	2	127-126	MoECombineBackward	12	6782811	7755711
parallel	3	126-127	MoECombineBackward	12	7870678	8668854
parallel	4	127-126	MoECombineBackward	12	8468858	8245376
parallel	5	126-127	MoECombineBackward	12	7562734	7857698
parallel	6	127-126	MoECombineBackward	12	7330504	8666725
parallel	7	126-127	MoECombineBackward	12	10190214	7525420
parallel	8	127-126	MoECombineBackward	12	8438145	8650836
parallel	9	126-127	MoECombineBackward	12	7731329	8904703
