revision,campaign,pair,phase,arm,case,iterations,ns_per_op,bytes_per_op,allocs_per_op
candidate1,1,0,warmup,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,264478,2319,272,4
candidate1,1,0,warmup,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,94564,7144,272,4
candidate1,1,0,warmup,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9243,66837,273,4
candidate1,1,0,warmup,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,567,1030697,275,4
candidate1,1,0,warmup,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5470970,292,4
candidate1,1,0,warmup,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,258561,2322,288,4
candidate1,1,0,warmup,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,95664,6357,288,4
candidate1,1,0,warmup,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9447,60937,289,4
candidate1,1,0,warmup,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,636,961209,299,4
candidate1,1,0,warmup,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5253556,308,4
candidate1,1,1,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,261158,2284,288,4
candidate1,1,1,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,92107,6319,288,4
candidate1,1,1,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9674,60174,289,4
candidate1,1,1,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,613,967527,291,4
candidate1,1,1,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5534565,308,4
candidate1,1,1,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,259984,2323,272,4
candidate1,1,1,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,93249,6379,272,4
candidate1,1,1,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9232,61244,273,4
candidate1,1,1,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,633,1133586,288,4
candidate1,1,1,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5444575,292,4
candidate1,1,2,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,263727,2384,272,4
