BenchmarkDotIQ2SPaths-12   	  681982	       987.9 ns/op	16584.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12    	   37501	     15652 ns/op	16748.74 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12           	     204	   2585413 ns/op	6489.18 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12   	  668330	       992.9 ns/op	16500.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12    	   41478	     16323 ns/op	16059.80 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12 	    2809	    213857 ns/op	78450.48 MB/s	   17503 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12   	  685909	       917.9 ns/op	17849.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12    	   40886	     17759 ns/op	14761.20 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12           	    2917	    218566 ns/op	76760.30 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12   	  675928	      1020 ns/op	16066.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12    	   40080	     14864 ns/op	17636.37 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12 	    2942	    213079 ns/op	78737.06 MB/s	   17495 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12   	  681450	       892.0 ns/op	18367.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12    	   42187	     20723 ns/op	12649.66 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12           	    2642	    232728 ns/op	72089.34 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12   	  656637	      1138 ns/op	14391.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12    	   26760	     19987 ns/op	13115.60 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12 	     746	    679018 ns/op	24708.06 MB/s	   17718 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12   	  662833	       941.3 ns/op	17406.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12    	   40309	     15090 ns/op	17372.14 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12           	    2563	    233831 ns/op	71749.35 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12   	  681494	       931.1 ns/op	17597.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12    	   40453	     15631 ns/op	16771.27 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12 	    2041	    263499 ns/op	63671.00 MB/s	   17529 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12   	  673888	       930.9 ns/op	17599.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12    	   40754	     14928 ns/op	17560.03 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12           	    2776	    216752 ns/op	77402.72 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12   	  656685	       922.3 ns/op	17763.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12    	   32250	     15990 ns/op	16393.78 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12 	    2744	    217219 ns/op	77236.28 MB/s	   17500 B/op	      29 allocs/op
