BenchmarkDotIQ2SPaths-12 	  126466	      6276 ns/op	2610.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12  	    7432	     94827 ns/op	2764.45 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12         	     693	   1172248 ns/op	14312.00 MB/s	   17917 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12 	  121221	      4960 ns/op	3303.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12  	    7449	     81962 ns/op	3198.38 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12         	     159	   4332933 ns/op	3872.02 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12 	  117378	      5089 ns/op	3219.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12  	    7695	     78390 ns/op	3344.10 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12         	     697	    927576 ns/op	18087.15 MB/s	   17914 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12 	  105692	      5140 ns/op	3187.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12  	    7741	     78639 ns/op	3333.52 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12         	     708	    855316 ns/op	19615.23 MB/s	   17513 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12 	  122220	      5038 ns/op	3252.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12  	    7592	     79414 ns/op	3300.98 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12         	     622	    997146 ns/op	16825.23 MB/s	   17851 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12 	   37363	     14343 ns/op	1142.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12  	    7646	    245241 ns/op	1068.92 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12         	     554	   1023258 ns/op	16395.88 MB/s	   17431 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12 	  119349	      5249 ns/op	3121.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12  	    7506	     82557 ns/op	3175.30 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12         	     546	    916543 ns/op	18304.88 MB/s	   17955 B/op	      30 allocs/op
BenchmarkDotIQ2SPaths-12 	  120894	      5096 ns/op	3215.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12  	    7741	     83582 ns/op	3136.37 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12         	     634	    901241 ns/op	18615.67 MB/s	   17486 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12 	  109298	      5087 ns/op	3220.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12  	    7434	     83949 ns/op	3122.65 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12         	     670	    924656 ns/op	18144.27 MB/s	   17840 B/op	      29 allocs/op
BenchmarkDotIQ2SPaths-12 	  121026	      5003 ns/op	3274.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2SPaths/N64_K1024-12  	    7657	     80538 ns/op	3254.90 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2SPaths/N4096_K1024-12         	     554	   1041361 ns/op	16110.85 MB/s	   17513 B/op	      29 allocs/op
