BenchmarkDotIQ2XSPaths-12   	  698330	       845.7 ns/op	19373.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12    	   42284	     14199 ns/op	18462.31 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12           	    3002	    197442 ns/op	84972.90 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12   	  692131	       847.7 ns/op	19328.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12    	   41804	     14221 ns/op	18433.78 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12  	    2761	    198810 ns/op	84388.00 MB/s	   17505 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12   	  706168	       848.8 ns/op	19303.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12    	   42326	     14254 ns/op	18390.99 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12           	    2962	    201864 ns/op	83111.50 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12   	  697042	       856.5 ns/op	19127.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12    	   42110	     14221 ns/op	18433.87 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12  	    2851	    197907 ns/op	84773.24 MB/s	   17506 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12   	  713400	       841.3 ns/op	19474.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12    	   42663	     14057 ns/op	18648.11 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12           	    2817	    197256 ns/op	85053.16 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12   	  695766	       847.7 ns/op	19327.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12    	   41995	     14248 ns/op	18399.14 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12  	    2798	    200349 ns/op	83739.77 MB/s	   17503 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12   	  703285	       845.2 ns/op	19384.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12    	   42663	     14048 ns/op	18660.10 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12           	    2889	    198614 ns/op	84471.57 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12   	  697761	       858.5 ns/op	19085.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12    	   42132	     14281 ns/op	18355.93 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12  	    2936	    199822 ns/op	83960.74 MB/s	   17500 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12   	  711184	       849.4 ns/op	19289.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12    	   41607	     14595 ns/op	17961.04 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12           	    2902	    205879 ns/op	81490.54 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12   	  706543	       842.8 ns/op	19440.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12    	   42123	     14170 ns/op	18499.37 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12  	    3009	    200959 ns/op	83485.95 MB/s	   17494 B/op	      29 allocs/op
