BenchmarkDotIQ2XSPaths-12 	  125394	      4829 ns/op	3392.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12  	    7675	     77916 ns/op	3364.44 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12         	     753	    789885 ns/op	21240.08 MB/s	   17854 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12 	  124750	      4883 ns/op	3355.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12  	    7654	     77739 ns/op	3372.11 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12         	     794	    778873 ns/op	21540.37 MB/s	   17480 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12 	  123058	      4874 ns/op	3361.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12  	    7851	     77952 ns/op	3362.89 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12         	     681	    883095 ns/op	18998.20 MB/s	   17871 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12 	  120998	      4919 ns/op	3330.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12  	    7669	     78055 ns/op	3358.44 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12         	     765	    797738 ns/op	21030.98 MB/s	   17457 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12 	  123308	      4831 ns/op	3391.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12  	    7648	     77297 ns/op	3391.39 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12         	     730	    783572 ns/op	21411.20 MB/s	   17820 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12 	  123308	      4895 ns/op	3347.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12  	    7665	     78263 ns/op	3349.52 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12         	     802	    769640 ns/op	21798.77 MB/s	   17421 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12 	  122314	      5006 ns/op	3272.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12  	    7783	     77368 ns/op	3388.28 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12         	     784	    770022 ns/op	21787.97 MB/s	   17803 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12 	  122836	      4887 ns/op	3352.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12  	    7616	     78462 ns/op	3341.05 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12         	     794	    768624 ns/op	21827.60 MB/s	   17443 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12 	  124300	      4823 ns/op	3397.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12  	    7632	     78415 ns/op	3343.04 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12         	     663	    884843 ns/op	18960.68 MB/s	   17877 B/op	      29 allocs/op
BenchmarkDotIQ2XSPaths-12 	  124270	      4823 ns/op	3396.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XSPaths/N64_K1024-12  	    7765	     77349 ns/op	3389.12 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XSPaths/N4096_K1024-12         	     696	    863834 ns/op	19421.80 MB/s	   17515 B/op	      29 allocs/op
