BenchmarkDotIQ2XXS-12 	  119616	      4916 ns/op	3332.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XXS/N64_K1024-12  	    7939	     75183 ns/op	3486.76 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XXS/N4096_K1024-12         	     804	    763902 ns/op	21962.53 MB/s	   17815 B/op	      29 allocs/op
BenchmarkDotIQ2XXS-12 	  128048	      4693 ns/op	3491.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XXS/N64_K1024-12  	    7987	     75321 ns/op	3480.35 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XXS/N4096_K1024-12         	     812	    751469 ns/op	22325.88 MB/s	   17432 B/op	      29 allocs/op
BenchmarkDotIQ2XXS-12 	  123919	      4722 ns/op	3469.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XXS/N64_K1024-12  	    7951	     75345 ns/op	3479.24 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XXS/N4096_K1024-12         	     805	    757174 ns/op	22157.67 MB/s	   17800 B/op	      29 allocs/op
BenchmarkDotIQ2XXS-12 	  127347	      4688 ns/op	3494.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XXS/N64_K1024-12  	    7975	     75072 ns/op	3491.89 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XXS/N4096_K1024-12         	     813	    760398 ns/op	22063.74 MB/s	   17445 B/op	      29 allocs/op
BenchmarkDotIQ2XXS-12 	  125821	      4729 ns/op	3464.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XXS/N64_K1024-12  	    7950	     75174 ns/op	3487.15 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XXS/N4096_K1024-12         	     781	    761725 ns/op	22025.28 MB/s	   17801 B/op	      29 allocs/op
BenchmarkDotIQ2XXS-12 	  124531	      4713 ns/op	3476.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XXS/N64_K1024-12  	    7801	     75070 ns/op	3491.99 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XXS/N4096_K1024-12         	     806	    760590 ns/op	22058.17 MB/s	   17431 B/op	      29 allocs/op
BenchmarkDotIQ2XXS-12 	  124653	      4754 ns/op	3446.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XXS/N64_K1024-12  	    7774	     76671 ns/op	3419.08 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XXS/N4096_K1024-12         	     698	    813978 ns/op	20611.38 MB/s	   17913 B/op	      29 allocs/op
BenchmarkDotIQ2XXS-12 	  125887	      4764 ns/op	3438.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XXS/N64_K1024-12  	    7884	     75143 ns/op	3488.60 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XXS/N4096_K1024-12         	     776	    787511 ns/op	21304.10 MB/s	   17452 B/op	      29 allocs/op
BenchmarkDotIQ2XXS-12 	  121495	      4852 ns/op	3376.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XXS/N64_K1024-12  	    7652	     78379 ns/op	3344.59 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XXS/N4096_K1024-12         	     690	    854807 ns/op	19626.90 MB/s	   17908 B/op	      29 allocs/op
BenchmarkDotIQ2XXS-12 	  126054	      4739 ns/op	3457.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ2XXS/N64_K1024-12  	    7791	     76884 ns/op	3409.63 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ2XXS/N4096_K1024-12         	     814	    755698 ns/op	22200.95 MB/s	   17440 B/op	      29 allocs/op
