BenchmarkDotIQ3XXS-12   	  743547	       804.8 ns/op	20357.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ3XXS/N64_K1024-12    	   44724	     13475 ns/op	19454.08 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ3XXS/N4096_K1024-12           	    3108	    188436 ns/op	89034.14 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ3XXS-12   	  740854	       803.7 ns/op	20384.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ3XXS/N64_K1024-12    	   44504	     13452 ns/op	19487.14 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ3XXS/N4096_K1024-12  	    2946	    200655 ns/op	83612.39 MB/s	   17497 B/op	      29 allocs/op
BenchmarkDotIQ3XXS-12   	  735462	       812.2 ns/op	20173.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ3XXS/N64_K1024-12    	   44776	     13422 ns/op	19530.97 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ3XXS/N4096_K1024-12           	    3142	    188685 ns/op	88916.39 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ3XXS-12   	  741487	       806.9 ns/op	20304.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ3XXS/N64_K1024-12    	   44446	     13443 ns/op	19500.16 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ3XXS/N4096_K1024-12  	    2959	    188377 ns/op	89061.82 MB/s	   17503 B/op	      29 allocs/op
BenchmarkDotIQ3XXS-12   	  746248	       803.2 ns/op	20398.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ3XXS/N64_K1024-12    	   44782	     13404 ns/op	19557.66 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ3XXS/N4096_K1024-12           	    2881	    190735 ns/op	87960.78 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ3XXS-12   	  694856	       804.1 ns/op	20375.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ3XXS/N64_K1024-12    	   44733	     13403 ns/op	19558.35 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ3XXS/N4096_K1024-12  	    2740	    198851 ns/op	84370.94 MB/s	   17508 B/op	      29 allocs/op
BenchmarkDotIQ3XXS-12   	  745592	       802.5 ns/op	20417.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ3XXS/N64_K1024-12    	   44629	     13406 ns/op	19554.69 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ3XXS/N4096_K1024-12           	    3103	    190113 ns/op	88248.59 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ3XXS-12   	  741632	       804.1 ns/op	20374.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ3XXS/N64_K1024-12    	   44692	     13406 ns/op	19554.32 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ3XXS/N4096_K1024-12  	    2764	    194509 ns/op	86254.35 MB/s	   17505 B/op	      29 allocs/op
BenchmarkDotIQ3XXS-12   	  730389	       814.0 ns/op	20127.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ3XXS/N64_K1024-12    	   44113	     13628 ns/op	19235.70 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ3XXS/N4096_K1024-12           	    2972	    188790 ns/op	88867.10 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ3XXS-12   	  742003	       803.6 ns/op	20388.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ3XXS/N64_K1024-12    	   44691	     13410 ns/op	19548.37 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ3XXS/N4096_K1024-12  	    2936	    190043 ns/op	88281.17 MB/s	   17497 B/op	      29 allocs/op
