goos: darwin
goarch: arm64
pkg: github.com/jxsl13/goai/format/gguf
cpu: Apple M2 Pro
BenchmarkDotIQ4NLPaths/scalar-12 	  121039	      4876 ns/op	3359.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkDotIQ4NLPaths/scalar-12 	  124796	      4806 ns/op	3408.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkDotIQ4NLPaths/scalar-12 	  123696	      4839 ns/op	3385.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkDotIQ4NLPaths/scalar-12 	  124249	      4820 ns/op	3399.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkDotIQ4NLPaths/scalar-12 	  125617	      4793 ns/op	3418.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkDotIQ4NLPaths/neon-12   	  827880	       731.2 ns/op	22407.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkDotIQ4NLPaths/neon-12   	  831259	       731.4 ns/op	22400.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkDotIQ4NLPaths/neon-12   	  802872	       731.7 ns/op	22390.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkDotIQ4NLPaths/neon-12   	  824524	       734.3 ns/op	22311.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkDotIQ4NLPaths/neon-12   	  822682	       738.1 ns/op	22198.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ4NLPaths/N64_K1024/scalar-12  	    8048	     75727 ns/op	3461.68 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ4NLPaths/N64_K1024/scalar-12  	    7884	     75824 ns/op	3457.27 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ4NLPaths/N64_K1024/scalar-12  	    7933	     75439 ns/op	3474.91 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ4NLPaths/N64_K1024/scalar-12  	    7555	     75664 ns/op	3464.60 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ4NLPaths/N64_K1024/scalar-12  	    8006	     75564 ns/op	3469.17 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ4NLPaths/N64_K1024/neon-12    	   49648	     12130 ns/op	21610.74 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ4NLPaths/N64_K1024/neon-12    	   49382	     12168 ns/op	21544.00 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ4NLPaths/N64_K1024/neon-12    	   49652	     11994 ns/op	21856.71 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ4NLPaths/N64_K1024/neon-12    	   49646	     12040 ns/op	21773.57 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ4NLPaths/N64_K1024/neon-12    	   49430	     12032 ns/op	21787.62 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ4NLPaths/N4096_K1024/scalar-12         	     818	    701362 ns/op	23920.90 MB/s	   17758 B/op	      29 allocs/op
BenchmarkQMatMulIQ4NLPaths/N4096_K1024/scalar-12         	     794	    732680 ns/op	22898.42 MB/s	   17432 B/op	      29 allocs/op
BenchmarkQMatMulIQ4NLPaths/N4096_K1024/scalar-12         	     788	    716577 ns/op	23412.99 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulIQ4NLPaths/N4096_K1024/scalar-12         	     788	    712327 ns/op	23552.69 MB/s	   17414 B/op	      29 allocs/op
BenchmarkQMatMulIQ4NLPaths/N4096_K1024/scalar-12         	     830	    684855 ns/op	24497.48 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulIQ4NLPaths/N4096_K1024/neon-12           	    3381	    173816 ns/op	96522.99 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulIQ4NLPaths/N4096_K1024/neon-12           	    3384	    173811 ns/op	96525.86 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulIQ4NLPaths/N4096_K1024/neon-12           	    3397	    174233 ns/op	96291.64 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulIQ4NLPaths/N4096_K1024/neon-12           	    3225	    175782 ns/op	95443.06 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulIQ4NLPaths/N4096_K1024/neon-12           	    3349	    178177 ns/op	94160.45 MB/s	   17408 B/op	      29 allocs/op
PASS

