goos: darwin
goarch: arm64
pkg: github.com/jxsl13/goai/nlp
cpu: Apple M2 Pro
BenchmarkQuantMamba2DecodeQ4_K-12    	     856	    354635 ns/op	   53995 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ4_K-12    	     850	    350844 ns/op	   53924 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ4_K-12    	     868	    348562 ns/op	   53926 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ4_K-12    	     860	    350017 ns/op	   53929 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ4_K-12    	     858	    348989 ns/op	   53920 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ4_K-12    	     865	    349378 ns/op	   53915 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ4_K-12    	     865	    347561 ns/op	   53915 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ4_K-12    	     862	    349793 ns/op	   53915 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ4_K-12    	     865	    349233 ns/op	   53920 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ4_K-12    	     862	    348232 ns/op	   53917 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ4_K-12    	     864	    349073 ns/op	   53916 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ6_K-12    	     826	    362762 ns/op	   53916 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ6_K-12    	     822	    363411 ns/op	   53916 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ6_K-12    	     829	    364374 ns/op	   53916 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ6_K-12    	     832	    367333 ns/op	   53916 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ6_K-12    	     810	    365457 ns/op	   53930 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ6_K-12    	     816	    365353 ns/op	   53917 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ6_K-12    	     816	    362898 ns/op	   53926 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ6_K-12    	     825	    362924 ns/op	   53930 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ6_K-12    	     822	    364906 ns/op	   53918 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ6_K-12    	     826	    362645 ns/op	   53917 B/op	      93 allocs/op
BenchmarkQuantMamba2DecodeQ6_K-12    	     820	    363517 ns/op	   53917 B/op	      93 allocs/op
PASS
