goos: darwin
goarch: arm64
pkg: github.com/jxsl13/goai/format/gguf
cpu: Apple M2 Pro
BenchmarkDotQ6K-12          	  650546	       460.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6K-12          	  654003	       451.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6K-12          	  684982	       452.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6K-12          	  670640	       452.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6K-12          	  683344	       454.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6K-12          	  673891	       453.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6K-12          	  682942	       450.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6K-12          	  639590	       449.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6K-12          	  658586	       448.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6K-12          	  666117	       450.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkQMatMulQ6K/N64_K1024-12    	   40044	      7423 ns/op	35316.84 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6K/N64_K1024-12    	   39825	      7428 ns/op	35292.11 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6K/N64_K1024-12    	   39784	      7425 ns/op	35307.27 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6K/N64_K1024-12    	   40182	      7469 ns/op	35096.34 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6K/N64_K1024-12    	   39361	      7532 ns/op	34802.27 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6K/N64_K1024-12    	   39667	      7518 ns/op	34871.10 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6K/N64_K1024-12    	   39728	      7467 ns/op	35104.73 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6K/N64_K1024-12    	   39772	      7479 ns/op	35052.78 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6K/N64_K1024-12    	   39783	      7417 ns/op	35342.35 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6K/N64_K1024-12    	   39620	      7434 ns/op	35261.27 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6K/N4096_K1024-12  	    2188	    116542 ns/op	143958.97 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6K/N4096_K1024-12  	    2169	    116016 ns/op	144610.65 MB/s	   17409 B/op	      29 allocs/op
BenchmarkQMatMulQ6K/N4096_K1024-12  	    2182	    117272 ns/op	143061.98 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6K/N4096_K1024-12  	    2166	    117778 ns/op	142448.39 MB/s	   17410 B/op	      29 allocs/op
BenchmarkQMatMulQ6K/N4096_K1024-12  	    2140	    116881 ns/op	143540.53 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6K/N4096_K1024-12  	    2156	    119931 ns/op	139890.40 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6K/N4096_K1024-12  	    2104	    119786 ns/op	140060.25 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6K/N4096_K1024-12  	    2157	    119594 ns/op	140284.52 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6K/N4096_K1024-12  	    2144	    117135 ns/op	143229.21 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6K/N4096_K1024-12  	    2178	    116561 ns/op	143934.80 MB/s	   17408 B/op	      29 allocs/op
