goos: darwin
goarch: arm64
pkg: github.com/jxsl13/goai/format/gguf
cpu: Apple M2 Pro
BenchmarkDotQ6KAsm-12          	  628276	       463.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KAsm-12          	  650546	       460.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KAsm-12          	  654003	       451.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KAsm-12          	  684982	       452.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KAsm-12          	  670640	       452.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KAsm-12          	  683344	       454.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KAsm-12          	  673891	       453.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KAsm-12          	  682942	       450.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KAsm-12          	  639590	       449.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KAsm-12          	  658586	       448.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KAsm-12          	  666117	       450.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KScalar-12       	   62766	      4798 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KScalar-12       	   62775	      4803 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KScalar-12       	   62730	      4807 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KScalar-12       	   62715	      4830 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KScalar-12       	   62618	      4810 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KScalar-12       	   62258	      4844 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KScalar-12       	   61982	      6481 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KScalar-12       	   62062	      4829 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KScalar-12       	   62422	      4819 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KScalar-12       	   62578	      4805 ns/op	       0 B/op	       0 allocs/op
BenchmarkDotQ6KScalar-12       	   62841	      4812 ns/op	       0 B/op	       0 allocs/op
BenchmarkQMatMulQ6KPaths/N64_K1024/neon-12    	   40084	      7453 ns/op	35172.54 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6KPaths/N64_K1024/neon-12    	   40044	      7423 ns/op	35316.84 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6KPaths/N64_K1024/neon-12    	   39825	      7428 ns/op	35292.11 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6KPaths/N64_K1024/neon-12    	   39784	      7425 ns/op	35307.27 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6KPaths/N64_K1024/neon-12    	   40182	      7469 ns/op	35096.34 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6KPaths/N64_K1024/neon-12    	   39361	      7532 ns/op	34802.27 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6KPaths/N64_K1024/neon-12    	   39667	      7518 ns/op	34871.10 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6KPaths/N64_K1024/neon-12    	   39728	      7467 ns/op	35104.73 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6KPaths/N64_K1024/neon-12    	   39772	      7479 ns/op	35052.78 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6KPaths/N64_K1024/neon-12    	   39783	      7417 ns/op	35342.35 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6KPaths/N64_K1024/neon-12    	   39620	      7434 ns/op	35261.27 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6KPaths/N64_K1024/scalar-12  	    3904	     76322 ns/op	3434.71 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6KPaths/N64_K1024/scalar-12  	    4003	     76201 ns/op	3440.14 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6KPaths/N64_K1024/scalar-12  	    3926	     76440 ns/op	3429.39 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulQ6KPaths/N64_K1024/scalar-12  	    3940	     76433 ns/op	3429.73 MB/s	     592 B/op	       4 allocs/op
