BenchmarkDotTQ2Paths-12   	  839091	       715.0 ns/op	22915.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12    	   51049	     11724 ns/op	22359.97 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12           	    3404	    172997 ns/op	96979.66 MB/s	   17410 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12   	  775076	       734.5 ns/op	22307.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12    	   50600	     11876 ns/op	22072.81 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12  	    3333	    173849 ns/op	96504.46 MB/s	   17491 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12   	  830220	       727.0 ns/op	22535.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12    	   50082	     11871 ns/op	22081.96 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12           	    3075	    178458 ns/op	94012.21 MB/s	   17410 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12   	  827818	       730.3 ns/op	22434.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12    	   50455	     11872 ns/op	22080.95 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12  	    3322	    173988 ns/op	96427.64 MB/s	   17493 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12   	  834768	       736.7 ns/op	22239.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12    	   50343	     11939 ns/op	21956.05 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12           	    3223	    175825 ns/op	95419.87 MB/s	   17410 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12   	  782680	       734.6 ns/op	22302.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12    	   50384	     11855 ns/op	22112.27 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12  	    3126	    174390 ns/op	96205.34 MB/s	   17499 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12   	  795122	       730.0 ns/op	22442.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12    	   48379	     12267 ns/op	21370.47 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12           	    3231	    185655 ns/op	90367.54 MB/s	   17410 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12   	  797571	       743.4 ns/op	22039.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12    	   49836	     11935 ns/op	21963.96 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12  	    3274	    175196 ns/op	95762.29 MB/s	   17494 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12   	  803019	       745.2 ns/op	21987.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12    	   47613	     12343 ns/op	21238.74 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12           	    3230	    186365 ns/op	90023.60 MB/s	   17410 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12   	  776434	       735.7 ns/op	22270.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12    	   50289	     12042 ns/op	21768.84 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12  	    3270	    175517 ns/op	95587.16 MB/s	   17493 B/op	      29 allocs/op
