BenchmarkDotTQ2Paths-12 	  125839	      4714 ns/op	3475.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12  	    7705	     75094 ns/op	3490.87 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12         	     864	    697620 ns/op	24049.23 MB/s	   17797 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12 	  126616	      4797 ns/op	3415.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12  	    8000	     76085 ns/op	3445.39 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12         	     836	    705275 ns/op	23788.21 MB/s	   17442 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12 	  124497	      4807 ns/op	3408.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12  	    7954	     76181 ns/op	3441.05 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12         	     862	    706162 ns/op	23758.31 MB/s	   17758 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12 	  125020	      4771 ns/op	3433.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12  	    8049	     75556 ns/op	3469.51 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12         	     848	    721459 ns/op	23254.58 MB/s	   17426 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12 	  124303	      4806 ns/op	3409.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12  	    7720	     75968 ns/op	3450.73 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12         	     860	    707468 ns/op	23714.44 MB/s	   17760 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12 	  127002	      4798 ns/op	3414.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12  	    7947	     76393 ns/op	3431.50 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12         	     868	    717912 ns/op	23369.46 MB/s	   17440 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12 	  124468	      4811 ns/op	3405.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12  	    7639	     76468 ns/op	3428.14 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12         	     704	    849607 ns/op	19747.03 MB/s	   17900 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12 	  125437	      4805 ns/op	3409.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12  	    8001	     76373 ns/op	3432.41 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12         	     834	    757266 ns/op	22154.98 MB/s	   17479 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12 	  122730	      4873 ns/op	3362.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12  	    7680	     78147 ns/op	3354.50 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12         	     699	    853936 ns/op	19646.92 MB/s	   17877 B/op	      29 allocs/op
BenchmarkDotTQ2Paths-12 	  121333	      4815 ns/op	3402.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulTQ2Paths/N64_K1024-12  	    7752	     76382 ns/op	3432.03 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulTQ2Paths/N4096_K1024-12         	     867	    714825 ns/op	23470.38 MB/s	   17441 B/op	      29 allocs/op
