phase,campaign,procs,benchmark,n,bytes_A_median,bytes_B_median,bytes_paired_delta_median,bytes_paired_delta_min,bytes_paired_delta_max,bytes_positive_pairs,bytes_zero_pairs,bytes_negative_pairs,bytes_nominal_rank_p,bytes_paired_deltas,allocs_A_median,allocs_B_median,allocs_paired_delta_median,allocs_paired_delta_min,allocs_paired_delta_max,allocs_positive_pairs,allocs_zero_pairs,allocs_negative_pairs,allocs_nominal_rank_p,allocs_paired_deltas,A_bytes_per_op_by_pair,A_bytes_remainder_by_pair,B_bytes_per_op_by_pair,B_bytes_remainder_by_pair,A_allocs_per_op_by_pair,A_allocs_remainder_by_pair,B_allocs_per_op_by_pair,B_allocs_remainder_by_pair
old-old,1,1,BenchmarkSiLUBackwardF64_256K_cpu,1024,4295319632,4295319632,0,-48,0,0,5,2,0.49417249417249415,"[-48,0,0,0,-48,0,0]",6146,6146,0,-1,0,0,5,2,0.49417249417249415,"[-1,0,0,0,-1,0,0]","[4194648,4194648,4194648,4194648,4194648,4194648,4194648]","[128,32,80,80,128,80,128]","[4194648,4194648,4194648,4194648,4194648,4194648,4194648]","[80,32,80,80,80,80,128]","[6,6,6,6,6,6,6]","[3,1,2,2,3,2,3]","[6,6,6,6,6,6,6]","[2,1,2,2,2,2,3]"
old-old,1,1,BenchmarkSigmoidF64_64K_cpu,1024,537174016,537174064,0,0,48,3,4,0,0.4085081585081585,"[48,48,0,48,0,0,0]",5120,5121,0,0,1,3,4,0,0.4085081585081585,"[1,1,0,1,0,0,0]","[524584,524584,524584,524584,524584,524584,524584]","[0,48,48,0,0,48,0]","[524584,524584,524584,524584,524584,524584,524584]","[48,96,48,48,0,48,0]","[5,5,5,5,5,5,5]","[0,1,1,0,0,1,0]","[5,5,5,5,5,5,5]","[1,2,1,1,0,1,0]"
old-old,1,1,BenchmarkSoftplusF64_256K_cpu,1024,2147786752,2147786752,0,-48,0,0,6,1,1.0,"[0,0,0,-48,0,0,0]",5120,5120,0,-1,0,0,6,1,1.0,"[0,0,0,-1,0,0,0]","[2097448,2097448,2097448,2097448,2097448,2097448,2097448]","[0,0,0,48,0,0,0]","[2097448,2097448,2097448,2097448,2097448,2097448,2097448]","[0,0,0,0,0,0,0]","[5,5,5,5,5,5,5]","[0,0,0,1,0,0,0]","[5,5,5,5,5,5,5]","[0,0,0,0,0,0,0]"
old-old,1,12,BenchmarkSiLUBackwardF64_256K_cpu,1024,4295391656,4295385800,-6936,-20440,17368,1,0,6,0.05303030303030303,"[-6936,-17592,-20440,-48,17368,-7552,-848]",7559,7515,-19,-220,190,2,0,5,0.09731934731934731,"[-19,-198,-220,3,190,-66,-11]","[4194718,4194719,4194722,4194717,4194698,4194720,4194713]","[424,520,8,984,656,824,536]","[4194711,4194702,4194702,4194717,4194715,4194713,4194712]","[656,336,48,936,616,440,712]","[7,7,7,7,7,7,7]","[391,402,421,384,171,413,348]","[7,7,7,7,7,7,7]","[372,204,201,387,361,347,337]"
old-old,1,12,BenchmarkSigmoidF64_64K_cpu,1024,537202576,537203344,-368,-1904,3488,3,0,4,1.0,"[-1184,1440,-368,1200,-1424,3488,-1904]",6181,6187,-5,-17,32,3,0,4,0.9662004662004662,"[-12,12,-5,9,-11,32,-17]","[524611,524612,524610,524611,524614,524610,524614]","[912,848,1008,208,576,192,512]","[524610,524614,524610,524612,524613,524613,524612]","[752,240,640,384,176,608,656]","[6,6,6,6,6,6,6]","[37,45,29,31,60,20,60]","[6,6,6,6,6,6,6]","[25,57,24,40,49,52,43]"
old-old,1,12,BenchmarkSoftplusF64_256K_cpu,1024,2147828016,2147828016,-2880,-8104,10624,2,0,5,0.6421911421911422,"[6848,-8104,-2880,-384,10624,-5568,-4152]",6221,6214,-6,-52,62,3,0,4,0.6882284382284383,"[62,-30,-28,-6,11,-52,7]","[2097484,2097489,2097486,2097489,2097478,2097493,2097488]","[592,512,456,800,368,752,304]","[2097491,2097481,2097483,2097489,2097488,2097488,2097484]","[272,600,648,416,752,304,248]","[6,6,6,6,6,6,6]","[32,77,94,83,59,118,66]","[6,6,6,6,6,6,6]","[94,47,66,77,70,66,73]"
old-old,2,1,BenchmarkSiLUBackwardF64_256K_cpu,1024,4295319632,4295319680,48,0,48,4,3,0,0.18414918414918416,"[0,48,0,48,48,48,0]",6146,6147,1,0,1,4,3,0,0.18414918414918416,"[0,1,0,1,1,1,0]","[4194648,4194648,4194648,4194648,4194648,4194648,4194648]","[128,80,80,32,80,80,80]","[4194648,4194648,4194648,4194648,4194648,4194648,4194648]","[128,128,80,80,128,128,80]","[6,6,6,6,6,6,6]","[3,2,2,1,2,2,2]","[6,6,6,6,6,6,6]","[3,3,2,2,3,3,2]"
old-old,2,1,BenchmarkSigmoidF64_64K_cpu,1024,537174064,537174016,0,-48,48,1,4,2,1.0,"[0,0,0,0,-48,-48,48]",5121,5120,0,-1,1,1,4,2,1.0,"[0,0,0,0,-1,-1,1]","[524584,524584,524584,524584,524584,524584,524584]","[0,0,48,48,48,48,0]","[524584,524584,524584,524584,524584,524584,524584]","[0,0,48,48,0,0,48]","[5,5,5,5,5,5,5]","[0,0,1,1,1,1,0]","[5,5,5,5,5,5,5]","[0,0,1,1,0,0,1]"
old-old,2,1,BenchmarkSoftplusF64_256K_cpu,1024,2147786752,2147786752,0,-48,0,0,5,2,0.46153846153846156,"[0,-48,0,-48,0,0,0]",5120,5120,0,-1,0,0,5,2,0.46153846153846156,"[0,-1,0,-1,0,0,0]","[2097448,2097448,2097448,2097448,2097448,2097448,2097448]","[0,48,0,48,0,0,0]","[2097448,2097448,2097448,2097448,2097448,2097448,2097448]","[0,0,0,0,0,0,0]","[5,5,5,5,5,5,5]","[0,1,0,1,0,0,0]","[5,5,5,5,5,5,5]","[0,0,0,0,0,0,0]"
old-old,2,12,BenchmarkSiLUBackwardF64_256K_cpu,1024,4295382208,4295382520,-2160,-11440,13560,3,0,4,0.9015151515151515,"[-3440,-6128,13560,32,-11440,6136,-2160]",7489,7405,-53,-112,179,1,0,6,0.6841491841491841,"[-112,-53,-6,-82,-103,179,-20]","[4194709,4194718,4194709,4194709,4194719,4194705,4194703]","[128,216,192,472,600,440,336]","[4194705,4194712,4194722,4194709,4194708,4194711,4194701]","[784,232,440,504,424,432,224]","[7,7,7,7,7,7,7]","[349,386,349,310,321,191,213]","[7,7,7,7,7,7,7]","[237,333,343,228,218,370,193]"
