campaign,pair,phase,arm,case,iterations,ns_per_op,bytes_per_op,allocs_per_op
pilot-02,0,warmup,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1549,337412,861590,18
pilot-02,0,warmup,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,608,900816,1716550,18
pilot-02,0,warmup,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,178,3276821,3783382,18
pilot-02,0,warmup,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,40,13090174,30857512,19
pilot-02,0,warmup,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,160,3689805,3199574,18
pilot-02,0,warmup,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4628,123891,67176,16
pilot-02,0,warmup,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,444,1236909,1899972,40
pilot-02,0,warmup,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1498,337696,851080,18
pilot-02,0,warmup,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,656,825215,1695007,18
pilot-02,0,warmup,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,225,2545532,3897477,18
pilot-02,0,warmup,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,63,10021800,28274097,20
pilot-02,0,warmup,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,163,3626428,3250071,18
pilot-02,0,warmup,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4616,124816,67124,16
pilot-02,0,warmup,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,440,1242574,1897978,40
pilot-02,0,warmup,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,878,654328,1095109,10
pilot-02,0,warmup,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,868,661945,1080626,10
pilot-02,0,warmup,baseline,BenchmarkCPUGPTTrainingStep/direct-12,36,59899837,375093458,2738
pilot-02,0,warmup,candidate,BenchmarkCPUGPTTrainingStep/direct-12,37,58187470,365194268,2729
pilot-02,1,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1567,334790,863001,18
pilot-02,1,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,600,892779,1658098,18
pilot-02,1,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,189,3090752,4051492,18
pilot-02,1,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,52,11300252,30168220,19
pilot-02,1,measured,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,160,3630743,3147144,18
pilot-02,1,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4513,129454,67045,16
pilot-02,1,measured,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,435,1494651,1725385,40
pilot-02,1,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1572,338390,851300,18
pilot-02,1,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,656,789930,1668432,18
pilot-02,1,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,226,2503318,3782803,18
pilot-02,1,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,68,9309467,29115908,19
pilot-02,1,measured,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,160,3600096,3171926,18
pilot-02,1,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4706,128708,67172,16
pilot-02,1,measured,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,435,1256317,1773603,40
pilot-02,1,measured,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,798,703367,1095779,10
pilot-02,1,measured,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,810,710858,1096453,10
pilot-02,1,measured,baseline,BenchmarkCPUGPTTrainingStep/direct-12,34,59195348,376511141,2739
pilot-02,1,measured,candidate,BenchmarkCPUGPTTrainingStep/direct-12,37,58742589,382486209,2746
pilot-02,2,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1536,340571,865435,18
pilot-02,2,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,591,881448,1697854,18
pilot-02,2,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,189,3075540,3896148,18
pilot-02,2,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,51,11575867,28868820,19
pilot-02,2,measured,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,163,3644629,3147144,18
pilot-02,2,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4628,129263,67123,16
pilot-02,2,measured,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,436,1247345,1818928,40
pilot-02,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1510,337441,865162,18
pilot-02,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,651,790405,1662010,18
pilot-02,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,223,2512238,3777248,18
pilot-02,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,68,9359585,29238783,19
pilot-02,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,163,3625131,3198608,18
pilot-02,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4693,123141,67153,16
pilot-02,2,measured,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,320,1775818,1788583,40
pilot-02,2,measured,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,808,706236,1090981,10
pilot-02,2,measured,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,802,689908,1089775,10
pilot-02,2,measured,baseline,BenchmarkCPUGPTTrainingStep/direct-12,36,60138834,390856496,2753
pilot-02,2,measured,candidate,BenchmarkCPUGPTTrainingStep/direct-12,38,59932264,386188620,2749
pilot-02,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1555,332902,848807,18
pilot-02,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,598,873168,1690761,18
pilot-02,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,189,3109263,4000347,18
pilot-02,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,51,11172190,28745461,19
pilot-02,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,164,3620467,3198294,18
