pair	order	base_ns	base_bytes	base_allocs	candidate_ns	candidate_bytes	candidate_allocs
1	AB	1882255333	208850984	255696	1781085959	207365336	205008
2	BA	1891387792	208854136	255701	1815211042	207369424	205011
3	AB	1883260791	208858832	255706	1785711833	207369568	205013
4	BA	2272699458	208850808	255696	1904343292	207364024	205006
5	AB	1880251917	208850936	255699	1831766375	207363880	205006
6	BA	1885900209	208855704	255706	1800013416	207373280	205019
7	AB	1898222625	208858648	255714	1778185083	207364920	205007
8	BA	2422536250	208858888	255711	1919118666	207364072	205006
9	AB	1978852708	208857928	255709	1788218625	207363944	205005
10	BA	1882805000	208850744	255694	1786642292	207367432	205013
11	AB	1880161333	208856432	255701	1785596042	207368264	205014
12	BA	2198037458	208851240	255700	1774469958	207371824	205016
