pair	arm	benchmark	ns_per_op	bytes_per_op	allocs_per_op
1	A	BenchmarkMoECombineInterleave/DecodeE8/f64-12	27336	33406	7
1	A	BenchmarkMoECombineInterleave/DecodeE8/f32-12	24526	16968	7
1	A	BenchmarkMoECombineInterleave/PrefillE8/f64-12	1652808	2098643	19
1	A	BenchmarkMoECombineInterleave/PrefillE8/f32-12	1065987	1049895	19
1	A	BenchmarkMoECombineInterleave/HighExpertE64/f64-12	4050189	532065	18
1	A	BenchmarkMoECombineInterleave/HighExpertE64/f32-12	3158192	269973	18
1	A	BenchmarkMoECombineInterleaveControlZeroDenom-12	494712	1049830	18
1	B	BenchmarkMoECombineInterleave/DecodeE8/f64-12	15509	33406	7
1	B	BenchmarkMoECombineInterleave/DecodeE8/f32-12	12538	16968	7
1	B	BenchmarkMoECombineInterleave/PrefillE8/f64-12	702242	2098533	19
1	B	BenchmarkMoECombineInterleave/PrefillE8/f32-12	647930	1049895	19
1	B	BenchmarkMoECombineInterleave/HighExpertE64/f64-12	2626866	532172	18
1	B	BenchmarkMoECombineInterleave/HighExpertE64/f32-12	2020224	269923	18
1	B	BenchmarkMoECombineInterleaveControlZeroDenom-12	76044	1049824	18
2	A	BenchmarkMoECombineInterleave/DecodeE8/f64-12	27082	33352	7
2	A	BenchmarkMoECombineInterleave/DecodeE8/f32-12	24272	16968	7
2	A	BenchmarkMoECombineInterleave/PrefillE8/f64-12	1202412	2098589	19
2	A	BenchmarkMoECombineInterleave/PrefillE8/f32-12	1508114	1049950	19
2	A	BenchmarkMoECombineInterleave/HighExpertE64/f64-12	3280210	532121	18
2	A	BenchmarkMoECombineInterleave/HighExpertE64/f32-12	3649879	269921	18
2	A	BenchmarkMoECombineInterleaveControlZeroDenom-12	80842	1049827	18
2	B	BenchmarkMoECombineInterleave/DecodeE8/f64-12	17385	33352	7
2	B	BenchmarkMoECombineInterleave/DecodeE8/f32-12	13222	16968	7
2	B	BenchmarkMoECombineInterleave/PrefillE8/f64-12	830924	2098633	19
2	B	BenchmarkMoECombineInterleave/PrefillE8/f32-12	795910	1049903	19
2	B	BenchmarkMoECombineInterleave/HighExpertE64/f64-12	2399043	532068	18
2	B	BenchmarkMoECombineInterleave/HighExpertE64/f32-12	1488315	269921	18
2	B	BenchmarkMoECombineInterleaveControlZeroDenom-12	167380	1049826	18
3	A	BenchmarkMoECombineInterleave/DecodeE8/f64-12	27280	33406	7
3	A	BenchmarkMoECombineInterleave/DecodeE8/f32-12	24221	16968	7
3	A	BenchmarkMoECombineInterleave/PrefillE8/f64-12	489688	2098704	19
3	A	BenchmarkMoECombineInterleave/PrefillE8/f32-12	913781	1049905	19
3	A	BenchmarkMoECombineInterleave/HighExpertE64/f64-12	2586790	532065	18
3	A	BenchmarkMoECombineInterleave/HighExpertE64/f32-12	2861532	269921	18
