pair	order	variant	median_s	throughput_tok_s	alloc_bytes	allocs	digest	samples_s
1	baseline-candidate	baseline	1.865421458	34.309	173691256	246351	ea3df5516f17df83	1.845480209,1.865421458,1.913560333
1	baseline-candidate	candidate	1.941811792	32.959	173724800	246379	ea3df5516f17df83	1.923338833,1.941811792,2.272586666
2	candidate-baseline	candidate	1.883779416	33.974	173716000	246355	ea3df5516f17df83	1.883196333,1.883779416,1.949374375
2	candidate-baseline	baseline	1.978237750	32.352	173698088	246367	ea3df5516f17df83	1.974276250,1.978237750,2.064154417
3	baseline-candidate	baseline	1.898522041	33.710	173748824	246358	ea3df5516f17df83	1.892935292,1.898522041,1.985530958
3	baseline-candidate	candidate	1.866696709	34.285	173691624	246352	ea3df5516f17df83	1.850090208,1.866696709,1.936404375
4	candidate-baseline	candidate	1.827513166	35.020	173706984	246352	ea3df5516f17df83	1.809172542,1.827513166,2.122043166
4	candidate-baseline	baseline	1.888545541	33.889	173762232	246371	ea3df5516f17df83	1.854730375,1.888545541,1.899685875
5	baseline-candidate	baseline	1.869229625	34.239	173692216	246359	ea3df5516f17df83	1.862381583,1.869229625,2.012266500
5	baseline-candidate	candidate	1.885806292	33.938	173702808	246366	ea3df5516f17df83	1.822486208,1.885806292,2.038689709
