pair	order	variant	median_s	throughput_tok_s	alloc_bytes	allocs	digest	samples_s
1	candidate-control	candidate	1.666945417	38.394	172408640	200762	ea3df5516f17df83	1.661655083,1.666945417,1.718836250
1	candidate-control	control	1.810015375	35.359	207362288	204990	ea3df5516f17df83	1.780175666,1.810015375,1.852616417
2	candidate-control	candidate	1.670018750	38.323	172408144	200761	ea3df5516f17df83	1.656414333,1.670018750,2.212398084
2	candidate-control	control	1.795387917	35.647	207358944	204984	ea3df5516f17df83	1.755988792,1.795387917,1.814166834
3	control-candidate	control	1.808281625	35.393	207362768	204992	ea3df5516f17df83	1.755939416,1.808281625,1.832610083
3	control-candidate	candidate	1.707139000	37.490	172407232	200760	ea3df5516f17df83	1.668153417,1.707139000,1.711483916
4	candidate-control	candidate	2.178932166	29.372	172411480	200766	ea3df5516f17df83	1.980742792,2.178932166,2.423777250
4	candidate-control	control	2.265746625	28.247	207358992	204985	ea3df5516f17df83	1.807583958,2.265746625,2.378765541
5	control-candidate	control	1.794117750	35.672	207358992	204986	ea3df5516f17df83	1.778786125,1.794117750,2.147499125
5	control-candidate	candidate	2.054817291	31.146	172411368	200765	ea3df5516f17df83	1.898261542,2.054817291,2.435692917
