pair	order	base_ns	base_bytes	base_allocs	candidate_ns	candidate_bytes	candidate_allocs	retained
1	AB	1982631625	209612176	281015	1936730708	208845792	255672	no
2	BA	2446434125	209613664	281020	1959530375	208847696	255676	yes
3	AB	2068332708	209612176	281015	1895903667	208847248	255675	yes
4	BA	1977528834	209613136	281017	1882664917	208846704	255672	yes
5	AB	2206186042	209612160	281015	2150967417	208848608	255676	yes
6	BA	1990497834	209611696	281014	1885834708	208846224	255674	yes
7	AB	2417488333	209617272	281021	2090588000	208851024	255681	yes
8	BA	1968852708	209612240	281017	2048384792	208850904	255681	yes
9	AB	1969706959	209611744	281016	1882582334	208847696	255676	yes
10	BA	2318449000	209614576	281020	1937344959	208848208	255677	yes
11	AB	1971881541	209612176	281016	2198111875	208851488	255682	yes
