pair	order	variant	median_s	throughput_tok_s	alloc_bytes	allocs	digest	samples_s
1	baseline-candidate	baseline	2.343909417	27.305	172416288	200778	ea3df5516f17df83	2.138830500,2.343909417,2.347527333
1	baseline-candidate	candidate	1.593567792	40.161	172406704	200758	ea3df5516f17df83	1.582079792,1.593567792,1.632830250
2	candidate-baseline	candidate	1.596547958	40.086	172408624	200762	ea3df5516f17df83	1.589900167,1.596547958,1.630784291
2	candidate-baseline	baseline	1.612282125	39.695	172407200	200759	ea3df5516f17df83	1.611049875,1.612282125,1.677323958
3	baseline-candidate	baseline	1.621367333	39.473	172408752	200763	ea3df5516f17df83	1.612424250,1.621367333,1.662892791
3	baseline-candidate	candidate	2.076972459	30.814	172407184	200759	ea3df5516f17df83	1.737152584,2.076972459,2.207978750
4	candidate-baseline	candidate	1.771009875	36.138	172416392	200777	ea3df5516f17df83	1.743085000,1.771009875,1.884947417
4	candidate-baseline	baseline	1.877802333	34.082	172411672	200767	ea3df5516f17df83	1.767619375,1.877802333,1.894537416
5	baseline-candidate	baseline	1.804804292	35.461	172413944	200772	ea3df5516f17df83	1.770641250,1.804804292,1.882478417
5	baseline-candidate	candidate	1.590955458	40.227	172409648	200765	ea3df5516f17df83	1.579353625,1.590955458,1.643544208
