pair	order	variant	median_ns	alloc_bytes	allocs	measured_samples_ns
1	AB	baseline	3238757208	279639984	296502	1949527167,3238757208,4091350917
1	AB	candidate	1984761708	209611712	281014	1952776750,1984761708,2263316250
2	BA	candidate	1982145334	209615056	281021	1946617500,1982145334,2011865625
2	BA	baseline	2340439750	279641424	296505	2194589750,2340439750,2535024166
3	AB	baseline	2000510208	279640480	296503	1997616792,2000510208,2335497875
3	AB	candidate	2008205166	209612656	281016	1956589209,2008205166,2039375208
4	BA	candidate	2275404792	209615088	281023	2230479750,2275404792,2285317250
4	BA	baseline	2268009917	279639984	296502	2148194541,2268009917,2582452667
5	AB	baseline	2015883667	279639984	296502	1977787833,2015883667,2153360583
5	AB	candidate	2322932833	209612176	281015	1981901458,2322932833,2341827333
6	BA	candidate	2047366042	209614080	281019	2014351708,2047366042,2450141208
6	BA	baseline	2344960500	279640000	296502	2259023625,2344960500,2562237625
7	AB	baseline	2154522916	279641424	296505	1957043083,2154522916,2492927833
7	AB	candidate	1982699334	209611760	281016	1939226709,1982699334,2342651542
8	BA	candidate	1966119459	209611728	281016	1956429458,1966119459,1975382542
8	BA	baseline	2078415791	279640000	296502	2034486250,2078415791,2357814958
9	AB	baseline	2333775667	279640944	296504	2313521583,2333775667,2347026583
9	AB	candidate	1974365458	209615600	281023	1944992666,1974365458,1995280917
10	BA	candidate	1968962875	209611744	281016	1935389709,1968962875,1975697750
10	BA	baseline	2538066417	279644304	296511	2170149417,2538066417,2635371125
11	AB	baseline	2002101125	279642848	296508	1991851333,2002101125,2049685292
11	AB	candidate	1970735875	209613120	281017	1928365209,1970735875,1977065834
