campaign,procs,benchmark,class,old_ns,new_ns,speedup,p_time,faster_pairs,old_bytes,new_bytes,p_bytes,old_allocs,new_allocs,p_allocs,target_pass,control_time_regression,bytes_increase,allocs_increase
1,1,BenchmarkSiLUBackwardF64_256K_cpu,control,710752.0,711951.0,0.9983158953354936,0.3175990675990676,2,4194648,4194648,1.0,6,6,1.0,false,false,false,false
1,1,BenchmarkSigmoidF64_64K_cpu,control,128735.0,128787.0,0.9995962325389985,1.0,3,524584,524584,1.0,5,5,1.0,false,false,false,false
1,1,BenchmarkSoftplusF64_256K_cpu,control,1085161.0,1086649.0,0.9986306525842291,1.0,4,2097448,2097448,1.0,5,5,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n2048,control,29348.0,23422.0,1.2530099906071215,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n262144,target,3994190.0,2895195.0,1.3795927390037632,0.0005827505827505828,7,2097480,2097464,0.0005827505827505828,5,5,1.0,true,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n2048,control,49694.0,23443.0,2.1197798916520925,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n262144,target,7487837.0,2891472.0,2.5896280510411307,0.0005827505827505828,7,2097480,2097464,0.0005827505827505828,5,5,1.0,true,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/forward/active/n2048,control,9575.0,16177.0,0.5918897199728009,0.0005827505827505828,0,16680,16680,1.0,5,5,1.0,false,true,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/forward/active/n262144,target,2640614.0,1970751.0,1.3399024026881123,0.0005827505827505828,7,2097448,2097448,1.0,5,5,1.0,true,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/forward/mixed/n2048,control,30128.0,16207.0,1.8589498364904053,0.0005827505827505828,7,16680,16680,1.0,5,5,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/forward/mixed/n262144,target,5476421.0,1966649.0,2.784645862072998,0.0005827505827505828,7,2097448,2097448,1.0,5,5,1.0,true,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/backward/active/n2048,control,28174.0,22247.0,1.2664179439924483,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/backward/active/n262144,leaf-diagnostic,3934628.0,2860344.0,1.3755786017346165,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/backward/mixed/n2048,control,48187.0,22224.0,2.1682415406767457,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/backward/mixed/n262144,leaf-diagnostic,7419795.0,2853841.0,2.599932862412447,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/active/n2048,control,8550.0,15023.0,0.5691273380816082,0.0005827505827505828,0,0,0,1.0,0,0,1.0,false,true,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/active/n262144,leaf-diagnostic,2591453.0,1922773.0,1.3477685613434347,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/mixed/n2048,control,28997.0,15016.0,1.9310735215769845,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/mixed/n262144,leaf-diagnostic,5459058.0,1926980.0,2.8329603836054345,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
