campaign,procs,benchmark,class,old_ns,new_ns,speedup,p_time,faster_pairs,old_bytes,new_bytes,p_bytes,old_allocs,new_allocs,p_allocs,target_pass,control_time_regression,bytes_increase,allocs_increase
1,1,BenchmarkSiLUBackwardF64_256K_cpu,control,714213.0,713087.0,1.0015790499616457,0.9015151515151515,4,4194648,4194648,1.0,6,6,1.0,false,false,false,false
1,1,BenchmarkSigmoidF64_64K_cpu,control,130094.0,130291.0,0.9984879999385989,0.534965034965035,2,524584,524584,1.0,5,5,1.0,false,false,false,false
1,1,BenchmarkSoftplusF64_256K_cpu,control,1100655.0,1100914.0,0.9997647409334426,0.62004662004662,3,2097448,2097448,1.0,5,5,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n2048,control,29344.0,14324.0,2.0485897793912313,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n262144,target,3986643.0,1735607.0,2.296973335553498,0.0005827505827505828,7,2097480,2097464,0.0005827505827505828,5,5,1.0,true,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n2048,control,49834.0,23689.0,2.103676812022458,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n262144,target,7488669.0,2932745.0,2.5534674852399375,0.0005827505827505828,7,2097480,2097464,0.0005827505827505828,5,5,1.0,true,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/forward/active/n2048,control,10058.0,6025.0,1.6693775933609958,0.0005827505827505828,7,16680,16680,1.0,5,5,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/forward/active/n262144,target,2632444.0,672707.0,3.9132103575553696,0.0005827505827505828,7,2097448,2097448,1.0,5,5,1.0,true,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/forward/mixed/n2048,control,30309.0,16532.0,1.8333534962496976,0.0005827505827505828,7,16680,16680,1.0,5,5,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/execute/forward/mixed/n262144,target,5480705.0,2024810.0,2.7067749566626005,0.0005827505827505828,7,2097448,2097448,1.0,5,5,1.0,true,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/backward/active/n2048,control,28120.0,13183.0,2.133050140332246,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/backward/active/n262144,leaf-diagnostic,3928152.0,1698691.0,2.3124582399035494,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/backward/mixed/n2048,control,48830.0,22526.0,2.167717304448193,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/backward/mixed/n262144,leaf-diagnostic,7400410.0,2897282.0,2.554259474914765,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/active/n2048,control,9950.0,4951.0,2.009695011108867,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/active/n262144,leaf-diagnostic,2590451.0,633513.0,4.089025797418522,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/mixed/n2048,control,29606.0,15423.0,1.9196005965117033,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/mixed/n262144,leaf-diagnostic,5447560.0,1982834.0,2.7473605959954286,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,12,BenchmarkSiLUBackwardF64_256K_cpu,control,274443.0,275178.0,0.997329001591697,1.0,4,4194701,4194698,0.5553613053613053,7,7,1.0,false,false,false,false
1,12,BenchmarkSigmoidF64_64K_cpu,control,105980.0,101572.0,1.0433977867916355,0.1282051282051282,5,524612,524613,0.5629370629370629,6,6,1.0,false,false,false,false
1,12,BenchmarkSoftplusF64_256K_cpu,control,288988.0,286705.0,1.00796288868349,0.1282051282051282,5,2097482,2097484,0.08158508158508158,6,6,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n2048,control,29275.0,14388.0,2.034681679177092,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n262144,target,772151.0,375114.0,2.0584435664891205,0.0005827505827505828,7,2097517,2097493,0.0005827505827505828,6,6,1.0,true,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n2048,control,49525.0,23632.0,2.0956753554502368,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n262144,target,1216796.0,547181.0,2.2237541142693185,0.0005827505827505828,7,2097518,2097499,0.0005827505827505828,6,6,1.0,true,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/forward/active/n2048,control,9230.0,6163.0,1.4976472497160473,0.0005827505827505828,7,16680,16680,1.0,5,5,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/forward/active/n262144,target,553214.0,224891.0,2.4599205837494607,0.0005827505827505828,7,2097494,2097485,0.0005827505827505828,6,6,1.0,true,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/forward/mixed/n2048,control,30092.0,16590.0,1.8138637733574443,0.0005827505827505828,7,16680,16680,1.0,5,5,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/forward/mixed/n262144,target,959762.0,431066.0,2.226485039413918,0.0005827505827505828,7,2097485,2097482,0.11713286713286714,6,6,1.0,true,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/active/n2048,control,28152.0,13174.0,2.1369363898588127,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/active/n262144,leaf-diagnostic,3940024.0,1703116.0,2.313420812205393,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/mixed/n2048,control,48858.0,22540.0,2.1676131322094054,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/mixed/n262144,leaf-diagnostic,7409013.0,2901578.0,2.553442643968213,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/forward/active/n2048,control,10167.0,4950.0,2.0539393939393937,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/forward/active/n262144,leaf-diagnostic,2595654.0,634005.0,4.094059195116758,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/forward/mixed/n2048,control,29626.0,15433.0,1.9196526922827706,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/forward/mixed/n262144,leaf-diagnostic,5455255.0,1986100.0,2.746717184431801,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
2,1,BenchmarkSiLUBackwardF64_256K_cpu,control,714360.0,712971.0,1.0019481858308403,0.62004662004662,5,4194648,4194648,1.0,6,6,1.0,false,false,false,false
2,1,BenchmarkSigmoidF64_64K_cpu,control,130385.0,130401.0,0.9998773015544359,0.7103729603729604,3,524584,524584,1.0,5,5,1.0,false,false,false,false
2,1,BenchmarkSoftplusF64_256K_cpu,control,1102701.0,1100551.0,1.001953566895128,0.534965034965035,4,2097448,2097448,1.0,5,5,1.0,false,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n2048,control,29375.0,14289.0,2.0557771712506123,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n262144,target,3990005.0,1737281.0,2.296695238133612,0.0005827505827505828,7,2097480,2097464,0.0005827505827505828,5,5,1.0,true,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n2048,control,49621.0,23673.0,2.096101043382757,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n262144,target,7478058.0,2935099.0,2.547804350040663,0.0005827505827505828,7,2097480,2097464,0.0005827505827505828,5,5,1.0,true,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/execute/forward/active/n2048,control,9922.0,6013.0,1.6500914684849493,0.0005827505827505828,7,16680,16680,1.0,5,5,1.0,false,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/execute/forward/active/n262144,target,2639839.0,672703.0,3.9242265903377866,0.0005827505827505828,7,2097448,2097448,1.0,5,5,1.0,true,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/execute/forward/mixed/n2048,control,30235.0,16535.0,1.8285455095252494,0.0005827505827505828,7,16680,16680,1.0,5,5,1.0,false,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/execute/forward/mixed/n262144,target,5481282.0,2024703.0,2.7072029823633392,0.0005827505827505828,7,2097448,2097448,1.0,5,5,1.0,true,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/leaf/backward/active/n2048,control,28087.0,13179.0,2.1311935655209044,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/leaf/backward/active/n262144,leaf-diagnostic,3925734.0,1695643.0,2.3151889873045213,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/leaf/backward/mixed/n2048,control,48645.0,22542.0,2.1579717859994676,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/leaf/backward/mixed/n262144,leaf-diagnostic,7412315.0,2896578.0,2.558990298207057,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/active/n2048,control,10527.0,4952.0,2.1258077544426492,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/active/n262144,leaf-diagnostic,2587290.0,633001.0,4.087339514471541,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/mixed/n2048,control,29153.0,15426.0,1.8898612731751587,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/mixed/n262144,leaf-diagnostic,5448155.0,1982113.0,2.7486601419797965,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
2,12,BenchmarkSiLUBackwardF64_256K_cpu,control,279515.0,277099.0,1.0087189055175225,0.8047785547785548,4,4194697,4194701,0.9201631701631702,7,7,1.0,false,false,false,false
2,12,BenchmarkSigmoidF64_64K_cpu,control,104686.0,102355.0,1.0227736798397733,0.534965034965035,3,524615,524613,0.4755244755244755,6,6,1.0,false,false,false,false
2,12,BenchmarkSoftplusF64_256K_cpu,control,289320.0,288819.0,1.0017346504211981,0.38286713286713286,3,2097481,2097484,0.15442890442890442,6,6,1.0,false,false,false,false
2,12,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n2048,control,29338.0,14445.0,2.031014191761855,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
2,12,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n262144,target,778149.0,373821.0,2.0816085773672426,0.0005827505827505828,7,2097519,2097492,0.0005827505827505828,6,6,1.0,true,false,false,false
2,12,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n2048,control,49573.0,23762.0,2.0862301153101592,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
2,12,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n262144,target,1214361.0,546921.0,2.220359064654676,0.0005827505827505828,7,2097517,2097501,0.0005827505827505828,6,6,1.0,true,false,false,false
2,12,BenchmarkVGELUF64NeonBoundary/execute/forward/active/n2048,control,9223.0,6162.0,1.496754300551769,0.0005827505827505828,7,16680,16680,1.0,5,5,1.0,false,false,false,false
2,12,BenchmarkVGELUF64NeonBoundary/execute/forward/active/n262144,target,553982.0,225478.0,2.456922626597717,0.0005827505827505828,7,2097492,2097484,0.0005827505827505828,6,6,1.0,true,false,false,false
2,12,BenchmarkVGELUF64NeonBoundary/execute/forward/mixed/n2048,control,30259.0,16636.0,1.8188867516229863,0.0005827505827505828,7,16680,16680,1.0,5,5,1.0,false,false,false,false
2,12,BenchmarkVGELUF64NeonBoundary/execute/forward/mixed/n262144,target,959180.0,426492.0,2.2489988088873885,0.0005827505827505828,7,2097482,2097480,0.2966200466200466,6,6,1.0,true,false,false,false
2,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/active/n2048,control,28136.0,13178.0,2.1350736075276977,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
2,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/active/n262144,leaf-diagnostic,3947453.0,1706634.0,2.313005014549107,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
2,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/mixed/n2048,control,48568.0,22548.0,2.1539826148660635,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
2,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/mixed/n262144,leaf-diagnostic,7421574.0,2903272.0,2.556279260089995,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
2,12,BenchmarkVGELUF64NeonBoundary/leaf/forward/active/n2048,control,10294.0,4953.0,2.0783363618009285,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
