goos: darwin
goarch: arm64
pkg: github.com/jxsl13/goai/format/gguf
cpu: Apple M2 Pro
BenchmarkReadFileModel-12 1 98696458 ns/op
BenchmarkReadFileModel-12 1 99694459 ns/op
BenchmarkReadFileModel-12 1 99510958 ns/op
BenchmarkReadFileModel-12 1 108589875 ns/op
BenchmarkReadFileModel-12 1 106360792 ns/op
BenchmarkReadFileModel-12 1 148119875 ns/op
BenchmarkReadFileModel-12 1 122858542 ns/op
BenchmarkReadFileModel-12 1 115733375 ns/op
BenchmarkReadFileModel-12 1 101767792 ns/op
BenchmarkReadFileModel-12 1 97067042 ns/op
