scope	shape	pair	left	left_ns	right	right_ns	left_allocs	right_allocs
policy	262144	1	serial	18385	parallel	26636	0	2
policy	262144	2	serial	18910	parallel	26857	0	2
policy	262144	3	serial	18458	parallel	24470	0	2
policy	262144	4	serial	18544	parallel	25210	0	2
policy	262144	5	serial	18856	parallel	24328	0	2
policy	262144	6	serial	19257	parallel	29002	0	2
policy	262144	7	serial	18762	parallel	24611	0	2
policy	262144	8	serial	18657	parallel	25396	0	2
policy	262144	9	serial	17821	parallel	31432	0	2
policy	349440	1	serial	21846	parallel	27164	0	2
policy	349440	2	serial	19124	parallel	28305	0	2
policy	349440	3	serial	24052	parallel	28666	0	2
policy	349440	4	serial	23006	parallel	26926	0	2
policy	349440	5	serial	18476	parallel	30230	0	2
policy	349440	6	serial	32472	parallel	35480	0	2
policy	349440	7	serial	27645	parallel	32439	0	2
policy	349440	8	serial	26956	parallel	32312	0	2
policy	349440	9	serial	25040	parallel	28257	0	2
policy	524288	1	serial	34257	parallel	35813	0	2
policy	524288	2	serial	36613	parallel	36198	0	2
policy	524288	3	serial	32480	parallel	36903	0	2
policy	524288	4	serial	40910	parallel	36414	0	2
policy	524288	5	serial	37676	parallel	48545	0	2
policy	524288	6	serial	41242	parallel	53290	0	2
policy	524288	7	serial	41466	parallel	44572	0	2
policy	524288	8	serial	42372	parallel	56527	0	2
policy	524288	9	serial	34246	parallel	35982	0	2
policy	1048576	1	serial	178869	parallel	178868	0	2
policy	1048576	2	serial	120323	parallel	176898	0	2
policy	1048576	3	serial	129829	parallel	160341	0	2
policy	1048576	4	serial	159108	parallel	169381	0	2
policy	1048576	5	serial	95623	parallel	105932	0	2
policy	1048576	6	serial	108412	parallel	100211	0	2
policy	1048576	7	serial	98403	parallel	127921	0	2
policy	1048576	8	serial	111350	parallel	112350	0	2
policy	1048576	9	serial	117404	parallel	170068	0	2
policy	2097152	1	serial	259373	parallel	255926	0	2
policy	2097152	2	serial	297656	parallel	234917	0	2
policy	2097152	3	serial	322378	parallel	391206	0	2
policy	2097152	4	serial	293624	parallel	486078	0	2
policy	2097152	5	serial	283840	parallel	199833	0	2
policy	2097152	6	serial	269908	parallel	207447	0	2
policy	2097152	7	serial	210153	parallel	205801	0	2
policy	2097152	8	serial	335005	parallel	231163	0	2
policy	2097152	9	serial	261785	parallel	260712	0	2
production	349440	1	old-parallel	339317	final-serial	327284	6	4
production	349440	2	old-parallel	351322	final-serial	330910	6	4
production	349440	3	old-parallel	384301	final-serial	367824	6	4
production	349440	4	old-parallel	345540	final-serial	292821	6	4
production	349440	5	old-parallel	319605	final-serial	361719	6	4
production	349440	6	old-parallel	374110	final-serial	344511	6	4
production	349440	7	old-parallel	368853	final-serial	356897	6	4
production	349440	8	old-parallel	354955	final-serial	349374	6	4
production	349440	9	old-parallel	403811	final-serial	311920	6	4
production	524288	1	old-parallel	108247	final-serial	104704	6	4
production	524288	2	old-parallel	121416	final-serial	107055	6	4
production	524288	3	old-parallel	123850	final-serial	107613	6	4
production	524288	4	old-parallel	106542	final-serial	110480	6	4
production	524288	5	old-parallel	103240	final-serial	135752	6	4
production	524288	6	old-parallel	101001	final-serial	102041	6	4
production	524288	7	old-parallel	118267	final-serial	114116	6	4
production	524288	8	old-parallel	112823	final-serial	106350	6	4
production	524288	9	old-parallel	107387	final-serial	107619	6	4
production	1048576	1	old-parallel	1301248	final-serial	1467828	6	4
production	1048576	2	old-parallel	1358237	final-serial	1441450	6	4
production	1048576	3	old-parallel	1507719	final-serial	1275512	6	4
production	1048576	4	old-parallel	1193165	final-serial	1068457	6	4
production	1048576	5	old-parallel	1112809	final-serial	1277066	6	4
production	1048576	6	old-parallel	1384503	final-serial	1270916	6	4
production	1048576	7	old-parallel	1619279	final-serial	1194133	6	4
production	1048576	8	old-parallel	1559637	final-serial	1537196	6	4
production	1048576	9	old-parallel	1591848	final-serial	1561717	6	4
upper-reject	2097152	1	t21-parallel	1758965	t22-serial	1920632	6	4
upper-reject	2097152	2	t21-parallel	1756334	t22-serial	1891967	6	4
upper-reject	2097152	3	t21-parallel	1868084	t22-serial	2077771	6	4
upper-reject	2097152	4	t21-parallel	1679516	t22-serial	1970929	6	4
upper-reject	2097152	5	t21-parallel	2208143	t22-serial	1593171	6	4
upper-reject	2097152	6	t21-parallel	1995434	t22-serial	2095818	6	4
upper-reject	2097152	7	t21-parallel	2301172	t22-serial	2531693	6	4
upper-reject	2097152	8	t21-parallel	1726819	t22-serial	2063589	6	4
upper-reject	2097152	9	t21-parallel	1869207	t22-serial	1921312	6	4
