campaign	round	goai_tg64_tok_s	goai_pp64_tok_s	llamacpp_tg64_tok_s	llamacpp_pp64_tok_s	llamacpp_over_goai_tg	llamacpp_over_goai_pp
strict-f32-kv-fa-off	1	172.0	1516.9	180.894928	1699.017283	1.0517147	1.1200589
strict-f32-kv-fa-off	2	172.7	1525.8	180.796621	1695.856508	1.0468826	1.1114540
strict-f32-kv-fa-off	3	170.1	1528.6	173.254824	1661.145736	1.0185469	1.0867105
strict-f32-kv-fa-off	4	172.7	1517.9	179.388076	1701.439482	1.0387266	1.1209167
strict-f32-kv-fa-off	5	167.2	1510.5	179.464809	1701.641153	1.0733541	1.1265416
shipping-f16-kv-fa-auto	1	173.1	1531.3	197.043476	1763.836561	1.1383216	1.1518557
shipping-f16-kv-fa-auto	2	164.9	1559.0	195.573669	1774.430217	1.1860138	1.1381849
shipping-f16-kv-fa-auto	3	168.6	1515.7	196.792160	1772.679257	1.1672133	1.1695449
shipping-f16-kv-fa-auto	4	172.2	1517.9	204.856568	1780.079123	1.1896433	1.1727249
shipping-f16-kv-fa-auto	5	173.8	1493.2	192.441509	1742.158287	1.1072584	1.1667280
