campaign	context	f32_median_tok_s	f16kv_median_tok_s	speedup	max_f32_control_spread	result
1	8	173.940891	179.469108	1.0318	1.032	pass
1	512	171.973974	178.124378	1.0358	1.029	pass
1	1024	162.098808	171.787792	1.0598	1.030	pass
1	1536	155.604276	165.316261	1.0624	1.007	pass
2	8	179.073281	184.433788	1.0299	1.035	pass
2	512	172.310664	177.648324	1.0310	1.029	pass
2	1024	160.314417	170.474333	1.0634	1.028	pass
2	1536	153.291455	163.836994	1.0688	1.014	pass
3	8	172.728624	177.398998	1.0270	1.024	pass
3	512	169.408226	175.031286	1.0332	1.029	pass
3	1024	160.516260	168.591752	1.0503	1.036	pass
3	1536	153.413050	164.020239	1.0691	1.056	pass
