campaign	format	shape	coop_gpu_x	coop_wall_x	resident_cpu_x	control_x	direct_host_cpu_x
1	IQ3_XXS	kv	19.7600	7.4430	2.0600	1.0150	0.4114
1	IQ3_XXS	square	13.7900	7.8280	5.0110	1.0010	1.0970
1	IQ3_XXS	gate	5.6110	5.2120	4.3380	1.0020	1.0170
1	IQ3_XXS	down	14.5000	12.8600	4.9950	1.0000	1.1870
1	IQ3_S	kv	33.5800	4.2320	2.3120	1.0030	0.6020
1	IQ3_S	square	21.2500	15.9800	4.7220	1.0010	0.8270
1	IQ3_S	gate	8.3570	7.5870	6.6110	1.0020	1.7150
1	IQ3_S	down	21.3400	18.1600	17.5200	1.0010	1.2050
2	IQ3_XXS	kv	20.7400	7.9710	4.2490	1.0290	0.4378
2	IQ3_XXS	square	13.9100	7.7420	4.2580	1.0010	0.8793
2	IQ3_XXS	gate	5.5920	4.3920	4.2270	1.0200	1.0120
2	IQ3_XXS	down	14.4300	12.1500	9.5740	1.0010	1.0280
2	IQ3_S	kv	33.7200	9.7500	6.0280	1.0030	0.4729
2	IQ3_S	square	21.1800	9.6860	4.5620	1.0010	0.8063
2	IQ3_S	gate	8.3640	7.1280	8.9660	1.0000	1.1930
2	IQ3_S	down	21.3400	15.9500	10.2200	1.0000	1.1800
3	IQ3_XXS	kv	20.7800	8.4870	2.9420	1.0720	0.6542
3	IQ3_XXS	square	13.9100	7.4620	5.6290	1.0010	0.8725
3	IQ3_XXS	gate	5.5950	4.3760	3.7990	1.0010	1.5900
3	IQ3_XXS	down	14.4200	12.1100	5.5980	1.0000	0.8965
3	IQ3_S	kv	33.9900	10.3100	3.3190	1.0030	0.5201
3	IQ3_S	square	21.3600	16.7900	13.2200	1.0000	0.7323
3	IQ3_S	gate	8.3640	7.5950	11.5200	1.0020	1.2560
3	IQ3_S	down	21.3200	18.1600	7.2230	1.0000	1.0420
