goos: darwin
goarch: arm64
pkg: github.com/jxsl13/goai/backend/metal
cpu: Apple M2 Pro
BenchmarkMetalIQ4NLLeadership/N512_K1024/CPU-12     	    4977	     47227 ns/op	    3098 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N512_K1024/CPU-12     	    5187	     47324 ns/op	    3073 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N512_K1024/CPU-12     	    5167	     47511 ns/op	    3072 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N512_K1024/CPU-12     	    5043	     47342 ns/op	    3072 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N512_K1024/CPU-12     	    5126	     47378 ns/op	    3072 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N512_K1024/CPU-12     	    5062	     47522 ns/op	    3075 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N512_K1024/CPU-12     	    5161	     47452 ns/op	    3074 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N512_K1024/MetalResidentHostIO-12         	    1054	    194879 ns/op	    2272 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N512_K1024/MetalResidentHostIO-12         	    1550	    162166 ns/op	    2272 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N512_K1024/MetalResidentHostIO-12         	    1500	    162620 ns/op	    2272 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N512_K1024/MetalResidentHostIO-12         	    1478	    162697 ns/op	    2272 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N512_K1024/MetalResidentHostIO-12         	    1497	    163103 ns/op	    2272 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N512_K1024/MetalResidentHostIO-12         	    1488	    160728 ns/op	    2272 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N512_K1024/MetalResidentHostIO-12         	    1580	    162049 ns/op	    2272 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N2048_K2048/CPU-12                        	    1424	    168468 ns/op	    9216 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N2048_K2048/CPU-12                        	    1438	    169678 ns/op	    9216 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N2048_K2048/CPU-12                        	    1412	    171949 ns/op	    9216 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N2048_K2048/CPU-12                        	    1412	    171442 ns/op	    9216 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N2048_K2048/CPU-12                        	    1414	    171959 ns/op	    9216 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N2048_K2048/CPU-12                        	    1407	    170577 ns/op	    9216 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N2048_K2048/CPU-12                        	    1408	    171841 ns/op	    9216 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N2048_K2048/MetalResidentHostIO-12        	    1035	    229282 ns/op	    8416 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N2048_K2048/MetalResidentHostIO-12        	    1065	    229125 ns/op	    8416 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N2048_K2048/MetalResidentHostIO-12        	    1038	    229528 ns/op	    8416 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N2048_K2048/MetalResidentHostIO-12        	    1179	    237316 ns/op	    8416 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N2048_K2048/MetalResidentHostIO-12        	    1026	    220645 ns/op	    8416 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N2048_K2048/MetalResidentHostIO-12        	     872	    330674 ns/op	    8416 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N2048_K2048/MetalResidentHostIO-12        	    1083	    454786 ns/op	    8416 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N4096_K1024/CPU-12                        	    1168	    222919 ns/op	   17408 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N4096_K1024/CPU-12                        	    1167	    206267 ns/op	   17408 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N4096_K1024/CPU-12                        	    1276	    202137 ns/op	   17408 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N4096_K1024/CPU-12                        	    1272	    205159 ns/op	   17408 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N4096_K1024/CPU-12                        	    1274	    201434 ns/op	   17408 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N4096_K1024/CPU-12                        	    1008	   1092139 ns/op	   17408 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N4096_K1024/CPU-12                        	     774	    381240 ns/op	   17408 B/op	      29 allocs/op
BenchmarkMetalIQ4NLLeadership/N4096_K1024/MetalResidentHostIO-12        	     698	   1813319 ns/op	   16608 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N4096_K1024/MetalResidentHostIO-12        	     206	   1272509 ns/op	   16608 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N4096_K1024/MetalResidentHostIO-12        	     633	    332244 ns/op	   16608 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N4096_K1024/MetalResidentHostIO-12        	     771	    310250 ns/op	   16608 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N4096_K1024/MetalResidentHostIO-12        	     796	    314884 ns/op	   16608 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N4096_K1024/MetalResidentHostIO-12        	     712	    453506 ns/op	   16608 B/op	       3 allocs/op
BenchmarkMetalIQ4NLLeadership/N4096_K1024/MetalResidentHostIO-12        	     740	    390327 ns/op	   16608 B/op	       3 allocs/op
PASS
