stage	pair	before_add_f64_ns	after_add_f64_ns	before_add_f32_ns	after_add_f32_ns	before_relu_f64_ns	after_relu_f64_ns	before_tanh_f64_ns	after_tanh_f64_ns
reslice	1	11059	9838	8268	5591	428155	386503	719556	651960
reslice	2	14457	8787	20866	5401	645728	379301	1179291	648370
reslice	3	11189	11665	7141	6618	555100	532521	883774	864591
reslice	4	15756	14966	11564	9379	633050	457102	1100929	1193368
reslice	5	23109	11324	12120	11423	520864	377295	666730	711613
reslice	6	14670	10971	10967	6996	587706	392234	1128976	774917
reslice	7	18617	13041	15456	8182	451613	655421	720515	1094232
direct-loop	1	29380	15829	23334	16683	1320623	717941	2824627	2105927
direct-loop	2	23176	15606	15221	13216	892538	1097038	1383704	2047464
direct-loop	3	38682	12479	30535	12058	1062216	956395	1204073	1750531
direct-loop	4	27430	10875	14347	9241	913073	953432	1430987	1606506
direct-loop	5	24560	16242	18494	16897	1128761	1156402	2994396	1633365
direct-loop	6	27709	18571	18210	12323	1529644	710102	2033630	1845297
direct-loop	7	48911	13858	37283	13643	1479207	928879	2150832	2683566
