campaign	pair	order	arm	ns/op	B/op	allocs/op
primary	1	first	baseline	8645373	1618887	1038
primary	1	second	candidate	6535966	1623109	1038
primary	2	first	candidate	7278070	1623086	1038
primary	2	second	baseline	7158301	1619050	1038
primary	3	first	baseline	6574260	1619034	1038
primary	3	second	candidate	5466776	1622987	1038
primary	4	first	candidate	7171123	1623176	1038
primary	4	second	baseline	5902029	1618894	1038
primary	5	first	baseline	4997323	1618919	1038
primary	5	second	candidate	4277071	1622997	1038
primary	6	first	candidate	4040754	1623108	1038
primary	6	second	baseline	4525035	1618898	1038
primary	7	first	baseline	5883369	1618878	1038
primary	7	second	candidate	3900920	1623009	1038
reversed	1	first	candidate	4993507	1623086	1038
reversed	1	second	baseline	5528401	1618947	1038
reversed	2	first	baseline	8169626	1618954	1038
reversed	2	second	candidate	8189381	1623073	1038
reversed	3	first	candidate	8134962	1623248	1039
reversed	3	second	baseline	8479884	1619012	1038
reversed	4	first	baseline	8610059	1619135	1038
reversed	4	second	candidate	7165536	1623119	1038
reversed	5	first	candidate	7904459	1623068	1038
reversed	5	second	baseline	7297873	1619015	1038
reversed	6	first	baseline	6779347	1618916	1038
reversed	6	second	candidate	5924042	1623210	1038
reversed	7	first	candidate	5761264	1622990	1038
reversed	7	second	baseline	6624457	1618934	1038
