invocation,pair,arm,sample,case,iterations,ns_per_op,bytes_per_op,allocs_per_op
0,1,old,warmup,direct_ReLU_F32_N2048,101156,2402,8424,4
0,1,old,retained,direct_ReLU_F32_N2048,104143,2470,8424,4
0,1,old,warmup,direct_ReLU_F32_N262144,957,251412,1048808,4
0,1,old,retained,direct_ReLU_F32_N262144,950,279445,1048808,4
0,1,old,warmup,direct_ReLU_F64_N2048,84136,2796,16616,4
0,1,old,retained,direct_ReLU_F64_N2048,85172,3295,16616,4
0,1,old,warmup,direct_ReLU_F64_N262144,870,265512,2097384,4
0,1,old,retained,direct_ReLU_F64_N262144,886,326394,2097384,4
0,1,old,warmup,taped_ReLU_F32_N2048,93612,2529,8616,6
0,1,old,retained,taped_ReLU_F32_N2048,93198,2451,8616,6
0,1,old,warmup,taped_ReLU_F32_N262144,958,250222,1049000,6
0,1,old,retained,taped_ReLU_F32_N262144,933,246391,1049000,6
0,1,old,warmup,taped_ReLU_F64_N2048,80008,2885,16808,6
0,1,old,retained,taped_ReLU_F64_N2048,83119,3485,16808,6
0,1,old,warmup,taped_ReLU_F64_N262144,855,258671,2097576,6
0,1,old,retained,taped_ReLU_F64_N262144,916,261533,2097576,6
1,1,new,warmup,direct_ReLU_F32_N2048,96380,2308,8424,4
1,1,new,retained,direct_ReLU_F32_N2048,105644,2287,8424,4
1,1,new,warmup,direct_ReLU_F32_N262144,960,246092,1048808,4
1,1,new,retained,direct_ReLU_F32_N262144,967,298127,1048808,4
1,1,new,warmup,direct_ReLU_F64_N2048,90003,2670,16616,4
1,1,new,retained,direct_ReLU_F64_N2048,88221,2742,16616,4
1,1,new,warmup,direct_ReLU_F64_N262144,886,257326,2097384,4
1,1,new,retained,direct_ReLU_F64_N262144,924,257967,2097384,4
1,1,new,warmup,taped_ReLU_F32_N2048,99771,2411,8616,6
1,1,new,retained,taped_ReLU_F32_N2048,98364,2396,8616,6
1,1,new,warmup,taped_ReLU_F32_N262144,954,243494,1049000,6
1,1,new,retained,taped_ReLU_F32_N262144,988,314673,1049000,6
1,1,new,warmup,taped_ReLU_F64_N2048,85189,2848,16808,6
1,1,new,retained,taped_ReLU_F64_N2048,83262,2818,16808,6
1,1,new,warmup,taped_ReLU_F64_N262144,908,260045,2097576,6
1,1,new,retained,taped_ReLU_F64_N262144,850,273637,2097576,6
2,2,new,warmup,direct_ReLU_F32_N2048,96483,2367,8424,4
2,2,new,retained,direct_ReLU_F32_N2048,100938,2389,8424,4
2,2,new,warmup,direct_ReLU_F32_N262144,930,252898,1048808,4
2,2,new,retained,direct_ReLU_F32_N262144,927,255329,1048808,4
2,2,new,warmup,direct_ReLU_F64_N2048,84189,3658,16616,4
2,2,new,retained,direct_ReLU_F64_N2048,83652,2875,16616,4
2,2,new,warmup,direct_ReLU_F64_N262144,842,267532,2097384,4
2,2,new,retained,direct_ReLU_F64_N262144,885,265773,2097384,4
2,2,new,warmup,taped_ReLU_F32_N2048,95544,2497,8616,6
2,2,new,retained,taped_ReLU_F32_N2048,95539,2520,8616,6
2,2,new,warmup,taped_ReLU_F32_N262144,926,259715,1049000,6
2,2,new,retained,taped_ReLU_F32_N262144,940,252014,1049000,6
2,2,new,warmup,taped_ReLU_F64_N2048,82616,3021,16808,6
2,2,new,retained,taped_ReLU_F64_N2048,70820,3302,16808,6
2,2,new,warmup,taped_ReLU_F64_N262144,891,306907,2097576,6
2,2,new,retained,taped_ReLU_F64_N262144,918,258114,2097576,6
3,2,old,warmup,direct_ReLU_F32_N2048,100858,2344,8424,4
3,2,old,retained,direct_ReLU_F32_N2048,103248,2325,8424,4
3,2,old,warmup,direct_ReLU_F32_N262144,985,239791,1048808,4
3,2,old,retained,direct_ReLU_F32_N262144,997,239975,1048808,4
3,2,old,warmup,direct_ReLU_F64_N2048,87487,2669,16616,4
3,2,old,retained,direct_ReLU_F64_N2048,90806,2660,16616,4
3,2,old,warmup,direct_ReLU_F64_N262144,914,252574,2097384,4
3,2,old,retained,direct_ReLU_F64_N262144,877,252485,2097384,4
3,2,old,warmup,taped_ReLU_F32_N2048,99873,2349,8616,6
3,2,old,retained,taped_ReLU_F32_N2048,100616,2730,8616,6
3,2,old,warmup,taped_ReLU_F32_N262144,931,252770,1049000,6
3,2,old,retained,taped_ReLU_F32_N262144,980,255173,1049000,6
3,2,old,warmup,taped_ReLU_F64_N2048,85110,2993,16808,6
3,2,old,retained,taped_ReLU_F64_N2048,81962,2939,16808,6
3,2,old,warmup,taped_ReLU_F64_N262144,885,259903,2097576,6
3,2,old,retained,taped_ReLU_F64_N262144,891,259186,2097576,6
4,3,old,warmup,direct_ReLU_F32_N2048,99850,2307,8424,4
4,3,old,retained,direct_ReLU_F32_N2048,105457,2256,8424,4
4,3,old,warmup,direct_ReLU_F32_N262144,976,242017,1048808,4
4,3,old,retained,direct_ReLU_F32_N262144,1002,237525,1048808,4
4,3,old,warmup,direct_ReLU_F64_N2048,91608,3441,16616,4
4,3,old,retained,direct_ReLU_F64_N2048,76294,3316,16616,4
4,3,old,warmup,direct_ReLU_F64_N262144,888,285270,2097384,4
4,3,old,retained,direct_ReLU_F64_N262144,914,284733,2097384,4
4,3,old,warmup,taped_ReLU_F32_N2048,96614,2532,8616,6
4,3,old,retained,taped_ReLU_F32_N2048,91881,2612,8616,6
4,3,old,warmup,taped_ReLU_F32_N262144,968,243043,1049000,6
4,3,old,retained,taped_ReLU_F32_N262144,972,244673,1049000,6
4,3,old,warmup,taped_ReLU_F64_N2048,85467,3258,16808,6
4,3,old,retained,taped_ReLU_F64_N2048,80768,2884,16808,6
